[00:34:29] [INFO] received Windows console close event; shutting log-core down
[11:32:43] [INFO] received Windows console close event; shutting log-core down
[11:33:17] [INFO] received Windows console close event; shutting log-core down
[11:35:52] [INFO] received Windows console close event; shutting log-core down
[11:37:44] [INFO] received Windows console close event; shutting log-core down
[11:45:22] [INFO] received Windows console close event; shutting log-core down
[11:57:17] [INFO] received Windows console close event; shutting log-core down
[11:57:49] [INFO] received Windows console close event; shutting log-core down
[12:08:47] [INFO] received Windows console close event; shutting log-core down
[12:11:58] [INFO] received Windows console close event; shutting log-core down
[12:14:15] [INFO] received Windows console close event; shutting log-core down
[12:17:36] [INFO] received Windows console close event; shutting log-core down
[17:59:46] [INFO] received Windows console close event; shutting log-core down
[23:16:58] [INFO] received Windows console close event; shutting log-core down
[23:20:26] [INFO] received Windows console close event; shutting log-core down
[23:21:59] [INFO] received Windows console close event; shutting log-core down
[23:23:55] [INFO] received Windows console close event; shutting log-core down
[23:24:35] [INFO] received Windows console close event; shutting log-core down
[23:25:32] [INFO] received Windows console close event; shutting log-core down
[23:43:39] [INFO] received Windows console close event; shutting log-core down
[00:58:19] [INFO] received Windows console close event; shutting log-core down
[15:29:00] [INFO] received Windows console close event; shutting log-core down
[14:56:34] [INFO] received Windows console close event; shutting log-core down
[14:56:40] [INFO] received Windows console close event; shutting log-core down
[14:57:12] [INFO] received Windows console close event; shutting log-core down
[14:57:19] [INFO] received Windows console close event; shutting log-core down
[14:57:26] [INFO] received Windows console close event; shutting log-core down
[15:03:51] [INFO] received Windows console close event; shutting log-core down
[15:25:11] [INFO] received Windows console close event; shutting log-core down
[15:26:58] [INFO] received Windows console close event; shutting log-core down
[15:28:10] [INFO] received Windows console close event; shutting log-core down
[15:31:32] [INFO] received Windows console close event; shutting log-core down
[15:32:33] [INFO] received Windows console close event; shutting log-core down
[15:35:31] [INFO] received Windows console close event; shutting log-core down
[15:50:53] [INFO] received Windows console close event; shutting log-core down
[15:52:12] [INFO] received Windows console close event; shutting log-core down
[15:54:08] [INFO] received Windows console close event; shutting log-core down
[15:55:59] [INFO] received Windows console close event; shutting log-core down
[15:58:13] [INFO] received Windows console close event; shutting log-core down
[16:00:16] [INFO] received Windows console close event; shutting log-core down
[16:18:00] [INFO] received Windows console close event; shutting log-core down
[14:06:41] [INFO] received Windows console close event; shutting log-core down
[14:30:33] [INFO] received Windows console close event; shutting log-core down
[14:35:36] [INFO] received Windows console close event; shutting log-core down
[15:01:30] [INFO] received Windows console close event; shutting log-core down
[15:31:13] [INFO] received Windows console close event; shutting log-core down
[14:50:08] [INFO] received Windows console close event; shutting log-core down
[20:06:52] [INFO] received Windows console close event; shutting log-core down
[20:07:51] [INFO] received Windows console close event; shutting log-core down
[20:08:57] [INFO] received Windows console close event; shutting log-core down
[21:04:21] [INFO] received Windows console close event; shutting log-core down
[21:06:00] [INFO] received Windows console close event; shutting log-core down
[21:08:40] [INFO] received Windows console close event; shutting log-core down
